model,year,price,transmission,mileage,tax,mpg,engineSize,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,log_price
5,2019,46985,0,3510,145,36.2,3.0,True,False,False,10.757604963978993
2,2019,23985,0,10,145,44.8,1.5,False,False,True,10.085225605791667
4,2019,28985,0,10,145,39.8,2.0,False,False,True,10.274568233782462
4,2019,27985,0,1010,145,39.8,2.0,False,False,True,10.239459664115659
5,2019,28985,2,500,145,47.9,2.0,True,False,False,10.274568233782462
3,2019,29985,0,10,145,42.8,2.0,False,False,True,10.308485885054848
2,2019,21995,1,10,145,54.3,1.6,True,False,False,9.998615897627705
4,2019,31985,0,10,145,39.8,2.0,False,False,True,10.373053586050816
4,2019,32485,0,10,145,51.4,2.0,True,False,False,10.38856450627934
2,2019,21285,1,10,145,51.4,1.6,True,False,False,9.96580485860099
11,2019,56985,0,1510,145,33.2,3.0,True,False,False,10.950560902613532
14,2019,43785,2,10,145,30.1,2.5,False,False,True,10.68706941056728
3,2016,18498,2,29845,160,45.6,2.0,False,False,True,9.82547195555139
2,2014,14995,2,27355,160,42.8,1.8,False,False,True,9.615538777855802
3,2016,17998,1,20885,30,64.2,2.0,True,False,False,9.798071479779479
2,2014,10985,0,10534,30,56.5,1.2,False,False,True,9.304377013902565
2,2016,12995,1,25895,20,70.6,2.0,True,False,False,9.472396896788991
0,2016,11495,1,32867,0,67.3,1.0,False,False,True,9.34975442775886
10,2015,18295,2,42793,205,47.1,2.0,True,False,False,9.814437735702617
5,2015,18998,2,49039,160,50.4,3.0,True,False,False,9.85214162518454
8,2017,18485,1,22501,145,64.2,1.6,True,False,False,9.824768967824722
7,2017,38985,0,1420,145,50.4,3.0,True,False,False,10.57095788630609
4,2019,29485,0,10,145,40.4,2.0,False,False,True,10.291670853409766
4,2017,22998,2,26939,145,62.8,2.0,True,False,False,10.043206015705211
7,2014,18998,2,24786,205,47.9,3.0,True,False,False,9.85214162518454
3,2017,17698,1,18761,145,51.4,1.4,False,False,True,9.781263419790754
4,2019,27995,0,10,145,40.4,2.0,False,False,True,10.23981692180943
9,2019,31985,1,10,145,42.8,2.0,True,False,False,10.373053586050816
3,2019,30995,0,10,145,38.7,2.0,False,False,True,10.34161344288384
2,2017,18998,2,22295,30,56.5,1.4,False,False,True,9.85214162518454
8,2017,16995,1,18068,145,52.3,1.4,False,False,True,9.740733301234702
2,2018,19995,1,25000,150,42.2,1.5,False,False,True,9.903287532533462
8,2017,14495,1,23043,150,55.4,1.0,False,False,True,9.581628028282761
4,2014,12998,2,80902,125,60.1,2.0,True,False,False,9.47262771040802
3,2019,32485,0,10,145,50.4,2.0,True,False,False,10.38856450627934
0,2019,20485,1,10,145,48.7,1.0,False,False,True,9.92749700499648
9,2019,34485,0,10,145,47.1,2.0,True,False,False,10.448308723560077
9,2016,18698,1,26474,145,52.3,2.0,True,False,False,9.83622532547696
10,2013,15998,2,65458,235,44.1,3.0,True,False,False,9.680281499268713
25,2018,16498,1,34170,150,47.1,1.8,False,False,True,9.711055051991444
10,2019,31998,2,100,145,33.2,2.0,False,False,True,10.373459931293572
9,2019,35985,0,650,145,47.1,2.0,True,False,False,10.490885252912465
10,2019,37985,0,10,145,38.2,2.0,True,False,False,10.544972949772182
10,2019,31998,2,10,145,33.2,2.0,False,False,True,10.373459931293572
3,2019,18998,1,2928,145,41.5,2.0,False,False,True,9.85214162518454
9,2018,19485,1,7157,145,51.4,1.4,False,False,True,9.877451537985287
9,2016,19995,2,31600,160,50.4,2.0,True,False,False,9.903287532533462
11,2016,47995,2,46600,300,39.2,4.0,True,False,False,10.77887295308428
2,2019,23485,1,10,145,56.5,2.0,True,False,False,10.064159777925026
4,2018,23998,2,14078,145,45.6,2.0,False,False,True,10.085767441795337
4,2015,17998,1,13312,125,57.6,2.0,True,False,False,9.798071479779479
5,2018,28985,2,10,145,50.4,2.0,True,False,False,10.274568233782462
17,2015,46000,2,20982,325,29.4,4.0,False,False,True,10.736418414365374
5,2018,26995,2,15600,145,50.4,2.0,True,False,False,10.203443985863297
5,2019,33985,0,5429,145,47.9,2.0,True,False,False,10.433703954094051
8,2019,30985,0,2710,145,40.9,1.5,False,False,True,10.341290768556236
11,2019,52985,0,6423,145,33.2,3.0,True,False,False,10.877783006696857
0,2017,12698,1,11017,150,67.3,1.0,False,False,True,9.449278529189034
9,2017,17298,1,16908,125,51.4,1.4,False,False,True,9.758403975346978
3,2017,16498,1,28801,125,49.6,2.0,False,False,True,9.711055051991444
3,2017,16798,1,23362,145,50.4,1.4,False,False,True,9.729074639810214
10,2013,15998,1,50025,235,37.7,2.0,False,False,True,9.680281499268713
12,2018,63985,2,8450,145,32.8,3.0,True,False,False,11.066419588412538
5,2018,27985,2,1790,145,50.4,2.0,True,False,False,10.239459664115659
3,2018,19485,2,10,145,53.3,1.4,False,False,True,9.877451537985287
3,2018,20985,1,10,145,52.3,1.4,False,False,True,9.951610827717856
2,2018,22285,0,6754,145,52.3,1.6,True,False,False,10.011713957606998
9,2014,14500,2,35423,200,47.9,2.0,True,False,False,9.581972891547895
2,2017,25000,2,16703,200,41.5,2.0,False,False,True,10.12667110305036
9,2017,15800,1,37203,125,51.4,1.4,False,False,True,9.6678285081515
2,2013,13500,2,44405,125,58.9,2.0,True,False,False,9.510519035757246
9,2014,12000,1,79389,165,50.4,2.0,True,False,False,9.392745258631441
2,2015,13800,2,61808,125,57.6,2.0,True,False,False,9.53249633228804
0,2016,11000,1,10491,0,67.3,1.0,False,False,True,9.305741456739435
2,2018,19995,1,19000,150,49.6,2.0,False,False,True,9.903287532533462
0,2016,11650,1,18900,0,67.3,1.0,False,False,True,9.36314729221994
2,2014,11850,1,50900,20,68.9,2.0,True,False,False,9.380167531188448
5,2013,12495,1,49000,325,29.7,2.0,True,False,False,9.433163872079467
0,2015,15995,1,23081,235,39.8,2.0,False,False,True,9.680093969966709
11,2020,82995,2,826,145,29.4,4.0,True,False,False,11.326547692846342
3,2019,25990,2,5987,145,38.2,2.0,False,False,True,10.165505603232393
5,2019,30995,2,2977,145,47.9,2.0,True,False,False,10.34161344288384
10,2019,34985,0,7573,145,39.2,2.0,True,False,False,10.46270326045021
9,2019,31995,1,3055,145,42.8,2.0,True,False,False,10.373366173968712
3,2019,29985,0,22,145,38.7,2.0,False,False,True,10.308485885054848
3,2019,28485,0,2250,145,51.4,2.0,True,False,False,10.257168017494532
10,2016,21498,2,20547,200,47.1,2.0,True,False,False,9.975761701406148
10,2019,32895,0,10,145,39.2,2.0,True,False,False,10.401106348814837
4,2016,22998,2,18828,260,35.8,3.0,False,False,True,10.043206015705211
10,2019,35998,2,28,145,32.1,2.0,False,False,True,10.49124643927466
11,2016,29985,0,38654,200,47.9,3.0,True,False,False,10.308485885054848
2,2014,16485,1,25764,200,40.4,2.0,False,False,True,9.710266814873172
25,2016,19485,1,28402,30,62.8,2.0,True,False,False,9.877451537985287
0,2015,13495,1,17152,30,56.5,1.4,False,False,True,9.510148624225804
2,2016,14995,1,29775,20,60.1,1.4,False,False,True,9.615538777855802
10,2017,39995,2,7801,145,34.0,3.0,False,False,True,10.59653472809574
10,2015,22990,2,60599,240,42.8,3.0,True,False,False,10.042858113983936
0,2017,12495,1,20670,30,57.6,1.4,False,False,True,9.433163872079467
2,2019,24985,0,2257,145,52.3,1.6,True,False,False,10.126070946991774
2,2019,24485,1,4039,145,51.4,1.6,True,False,False,10.105856804633861
2,2016,16485,1,21241,125,52.3,1.4,False,False,True,9.710266814873172
9,2016,20485,1,16945,160,49.6,2.0,True,False,False,9.92749700499648
3,2018,24985,0,18010,145,49.6,1.4,False,False,True,10.126070946991774
3,2017,19995,2,29653,145,62.8,2.0,True,False,False,9.903287532533462
4,2014,16000,2,75159,260,34.9,3.0,False,False,True,9.680406499268875
9,2014,14998,2,33842,200,47.9,2.0,True,False,False,9.61573881119536
2,2015,13995,1,42977,20,67.3,2.0,True,False,False,9.54652685348758
3,2019,27990,2,26,145,47.9,2.0,True,False,False,10.239638308916676
0,2016,11995,1,17454,0,67.3,1.0,False,False,True,9.392328539868899
2,2018,15995,1,17547,150,56.5,1.5,False,False,True,9.680093969966709
2,2020,35995,2,314,150,34.9,2.0,False,False,True,10.49116310015384
0,2016,13585,1,25010,30,58.9,1.4,False,False,True,9.516795129751248
5,2019,31985,2,3278,145,47.9,2.0,True,False,False,10.373053586050816
6,2019,32985,0,1285,145,39.2,3.0,True,False,False,10.403838508008098
5,2019,30985,0,4445,145,47.9,2.0,True,False,False,10.341290768556236
3,2020,34798,2,6998,145,38.2,2.0,False,False,True,10.457343929717506
3,2020,40780,2,6746,145,45.6,2.0,True,False,False,10.615971565652215
11,2015,34995,2,21245,205,47.9,3.0,True,False,False,10.462989048226156
3,2017,18995,1,27394,30,64.2,2.0,True,False,False,9.851983709669012
0,2016,12995,1,29283,0,67.3,1.0,False,False,True,9.472396896788991
0,2016,14495,1,20905,30,56.5,1.4,False,False,True,9.581628028282761
